Niter, simple time, simple error, chebyshev time, chebyshev error, jakobi time, jakobi error, gs time, gs error, conjgrad time, conjgrad error
89,103,0.000291692,127,5.93278e+08,119,0,53,0,26,0
90,101,0.000261397,117,1.30949e+09,115,0,53,0,26,0
91,102,0.000234248,118,1.90191e+09,114,0,53,0,26,0
92,103,0.000209919,118,6.46152e+09,114,0,53,0,26,0
93,105,0.000188116,120,1.17976e+09,114,0,53,0,26,0
94,106,0.000168579,121,4.52712e+09,115,0,53,0,26,0
95,106,0.00015107,132,2.10909e+09,117,0,53,0,176,0
96,115,0.00013538,135,7.74171e+09,116,0,53,0,26,0
97,110,0.000121319,124,3.90331e+08,116,0,53,0,26,0
98,110,0.000108719,125,5.68914e+08,115,0,53,0,26,0
99,111,9.74271e-05,127,5.13854e+08,116,0,53,0,26,0
100,112,8.73082e-05,128,5.23669e+08,116,0,53,0,26,0
101,113,7.82403e-05,129,7.29704e+07,116,0,53,0,26,0
102,115,7.01142e-05,130,2.01648e+08,128,0,53,0,25,0
103,116,6.28321e-05,131,3.0857e+07,116,0,53,0,26,0
104,117,5.63063e-05,132,6.426e+07,119,0,53,0,26,0
105,124,5.04583e-05,133,2.69801e+06,115,0,53,0,26,0
106,118,4.52177e-05,134,5.18568e+06,115,0,53,0,26,0
107,119,4.05213e-05,136,1.27649e+06,115,0,53,0,26,0
108,121,3.63127e-05,136,977010,115,0,53,0,26,0
109,122,3.25413e-05,138,40364.8,122,0,53,0,26,0
110,123,2.91615e-05,139,68467.9,115,0,53,0,26,0
111,123,2.61328e-05,140,9580.19,115,0,53,0,26,0
112,124,2.34186e-05,141,6331.52,115,0,53,0,26,0
113,126,2.09863e-05,142,121.728,115,0,53,0,26,0
114,127,1.88067e-05,143,152.358,115,0,53,0,26,0
115,128,1.68534e-05,144,29.3208,115,0,53,0,26,0
116,129,1.5103e-05,145,8.34071,123,0,53,0,26,0
117,130,1.35344e-05,151,0.321242,115,0,53,0,26,0
118,132,1.21287e-05,279,0.278999,125,0,59,0,26,0
119,138,1.0869e-05,151,0.0161055,115,0,53,0,26,0
120,134,9.74014e-06,150,0.00808597,115,0,53,0,26,0
121,135,8.72852e-06,166,0.000126003,115,0,53,0,26,0
122,136,7.82197e-06,153,0.000122801,151,0,60,0,26,0
123,167,7.00957e-06,155,1.17196e-05,115,0,53,0,25,0
124,148,6.28155e-06,155,2.4757e-06,116,0,53,0,26,0
125,157,5.62915e-06,158,5.28189e-08,116,0,62,0,27,0
126,146,5.0445e-06,157,3.33726e-08,115,0,53,0,26,0
127,153,4.52057e-06,163,1.68505e-09,115,0,53,0,27,0
128,150,4.05106e-06,161,4.48598e-10,116,0,52,0,26,0
129,146,3.63032e-06,189,3.74394e-10,116,0,52,0,26,0
130,145,3.25327e-06,174,3.22491e-10,115,0,53,0,26,0
131,145,2.91538e-06,175,2.07529e-08,116,0,53,0,26,0
132,149,2.61259e-06,177,1.30756e-06,115,0,53,0,26,0
133,148,2.34124e-06,177,9.29488e-06,115,0,53,0,26,0
134,149,2.09808e-06,182,9.49693e-05,115,0,53,0,26,0
135,151,1.88017e-06,180,0.000682124,128,0,53,0,26,0
136,151,1.6849e-06,182,0.0079691,115,0,52,0,26,0
137,153,1.5099e-06,182,0.0128598,115,0,52,0,26,0
138,156,1.35308e-06,334,0.0424031,115,0,53,0,28,0
139,166,1.21255e-06,196,0.741773,116,0,53,0,26,0
140,157,1.08661e-06,185,24.744,116,0,64,0,35,0
141,211,9.73756e-07,204,34.9983,115,0,53,0,26,0
142,158,8.72621e-07,187,131.13,115,0,53,0,26,0
143,163,7.8199e-07,188,1497.54,115,0,53,0,26,0
144,160,7.00772e-07,189,41321.2,115,0,52,0,25,0
145,192,6.27989e-07,204,22275.3,120,0,55,0,26,0
146,178,5.62766e-07,201,42487.2,119,0,53,0,26,0
147,182,5.04317e-07,194,668580,115,0,53,0,26,0
148,165,4.51938e-07,195,1.8358e+07,115,0,52,0,25,0
149,166,4.04999e-07,195,2.74364e+07,115,0,53,0,26,0
150,166,3.62936e-07,196,1.66035e+08,115,0,53,0,26,0
151,168,3.25241e-07,197,5.93314e+08,115,0,56,0,26,0
152,169,2.91461e-07,199,8.70226e+09,115,0,53,0,26,0
153,179,2.6119e-07,200,3.22256e+09,114,0,56,0,26,0
154,172,2.34062e-07,201,6.90052e+09,116,0,52,0,26,0
155,172,2.09753e-07,203,5.32285e+10,116,0,53,0,26,0
156,175,1.87967e-07,203,9.1122e+11,281,0,53,0,27,0
157,184,1.68445e-07,229,7.37859e+11,114,0,53,0,26,0
158,187,1.5095e-07,206,3.81607e+12,114,0,53,0,26,0
159,177,1.35272e-07,207,8.82192e+12,114,0,52,0,26,0
160,178,1.21223e-07,208,1.15184e+14,114,0,53,0,26,0
161,180,1.08633e-07,210,2.20272e+13,114,0,53,0,26,0
162,192,9.73499e-08,246,3.36092e+13,115,0,52,0,26,0
163,183,8.72391e-08,212,2.07589e+14,127,0,62,0,27,0
164,184,7.81784e-08,215,1.67722e+15,114,0,53,0,26,0
165,185,7.00587e-08,214,1.24619e+15,115,0,53,0,26,0
166,186,6.27824e-08,219,8.27509e+15,115,0,53,0,26,0
167,186,5.62617e-08,216,8.41335e+15,115,0,53,0,26,0
168,187,5.04183e-08,218,7.39636e+16,115,0,53,0,26,0
169,202,4.51819e-08,224,1.57088e+16,114,0,53,0,26,0
170,192,4.04892e-08,219,4.21574e+16,113,0,53,0,26,0
171,190,3.6284e-08,220,9.04527e+16,114,0,53,0,26,0
172,191,3.25155e-08,220,6.84421e+17,131,0,53,0,26,0
173,197,2.91384e-08,222,1.82161e+17,276,0,53,0,31,0
174,227,2.61121e-08,229,6.8506e+17,116,0,53,0,26,0
175,195,2.34001e-08,224,7.98658e+17,115,0,53,0,26,0
